dataset,feature_name,availability_stage,recommended_policy,use_initial_strict,use_initial_relaxed,use_dynamic_model,use_factor_analysis,feature_role,leakage_risk,reason,review_decision,review_notes
US_Accidents,Severity,REVIEW_REQUIRED,REVIEW,NO,NO,NO,NO,INCIDENT_SEVERITY,MEDIUM,Severity may be assigned initially or updated later. Run strict models without it and relaxed models with it.,,
US_Accidents,End_Lat,REVIEW_REQUIRED,REVIEW,NO,NO,NO,NO,INCIDENT_EXTENT,HIGH,May describe the final affected extent rather than information available at initial notification.,,
US_Accidents,End_Lng,REVIEW_REQUIRED,REVIEW,NO,NO,NO,NO,INCIDENT_EXTENT,HIGH,May describe the final affected extent rather than information available at initial notification.,,
US_Accidents,Distance(mi),REVIEW_REQUIRED,REVIEW,NO,NO,NO,NO,INCIDENT_EXTENT,HIGH,Affected distance may be updated as the event develops. Exclude from strict T0 and test separately.,,
Iowa_DOT,FRSTHARM,REVIEW_REQUIRED,FACTOR_ANALYSIS_ONLY,NO,NO,NO,YES,FINAL_OR_INVESTIGATIVE_CHARACTERISTIC,HIGH,Field likely comes from the completed crash report. Do not use for strict initial prediction without confirmation.,,
Iowa_DOT,LOCFSTHRM,REVIEW_REQUIRED,FACTOR_ANALYSIS_ONLY,NO,NO,NO,YES,FINAL_OR_INVESTIGATIVE_CHARACTERISTIC,HIGH,Field likely comes from the completed crash report. Do not use for strict initial prediction without confirmation.,,
Iowa_DOT,CRCOMNNR,REVIEW_REQUIRED,FACTOR_ANALYSIS_ONLY,NO,NO,NO,YES,FINAL_OR_INVESTIGATIVE_CHARACTERISTIC,HIGH,Field likely comes from the completed crash report. Do not use for strict initial prediction without confirmation.,,
Iowa_DOT,MAJCSE,REVIEW_REQUIRED,FACTOR_ANALYSIS_ONLY,NO,NO,NO,YES,FINAL_OR_INVESTIGATIVE_CHARACTERISTIC,HIGH,Field likely comes from the completed crash report. Do not use for strict initial prediction without confirmation.,,
Iowa_DOT,ECNTCRC,REVIEW_REQUIRED,FACTOR_ANALYSIS_ONLY,NO,NO,NO,YES,FINAL_OR_INVESTIGATIVE_CHARACTERISTIC,HIGH,Field likely comes from the completed crash report. Do not use for strict initial prediction without confirmation.,,
Iowa_DOT,RCNTCRC,REVIEW_REQUIRED,FACTOR_ANALYSIS_ONLY,NO,NO,NO,YES,FINAL_OR_INVESTIGATIVE_CHARACTERISTIC,HIGH,Field likely comes from the completed crash report. Do not use for strict initial prediction without confirmation.,,
Iowa_DOT,CSEV,REVIEW_REQUIRED,REVIEW,NO,NO,NO,NO,CRASH_SEVERITY,HIGH,May represent final crash severity. Exclude in strict T0 and verify before dynamic use.,,
Iowa_DOT,REPORT,REVIEW_REQUIRED,REVIEW,NO,NO,NO,NO,REPORT_METADATA,MEDIUM,Meaning requires Iowa data dictionary.,,
Iowa_DOT,XCOORD,STATIC_CONTEXT,REVIEW,NO,NO,NO,NO,LOCATION_DUPLICATE,LOW,Possible duplicate coordinate representation. Select either X/Y or XCOORD/YCOORD after coordinate validation.,,
Iowa_DOT,YCOORD,STATIC_CONTEXT,REVIEW,NO,NO,NO,NO,LOCATION_DUPLICATE,LOW,Possible duplicate coordinate representation. Select either X/Y or XCOORD/YCOORD after coordinate validation.,,
